Date,Region,Product_Category,Product_Name,Service_Type,Units_Sold,Product_Revenue_USD,Service_Revenue_USD,Total_Revenue_USD
1/23/2021,APAC,Pen Tablet,Wacom Intuos S,Support Plan,197,212022.76,13728.09,225750.85
1/24/2021,North America,Display Tablet,Cintiq Pro 24,Cloud Services,158,130065.6,16625.41,146691.01
1/25/2021,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,139,110531.23,5065.2,115596.43
1/26/2021,North America,Pen Tablet,Wacom Intuos S,Training,194,50023.5,6116.39,56139.89
1/27/2021,Europe,Accessories,Pro Pen 2,Cloud Services,164,110965.03,13618.53,124583.56
1/28/2021,North America,Display Tablet,Wacom One Display,Cloud Services,139,198256.34,10226.5,208482.84
1/29/2021,APAC,Display Tablet,Cintiq 16,Training,196,208420.96,22152.75,230573.71
1/30/2021,Latin America,Accessories,Pro Pen 2,Training,163,136093.22,5855.5,141948.72
1/31/2021,North America,Display Tablet,Cintiq Pro 24,Cloud Services,173,178698.99,9864.29,188563.28
2/1/2021,North America,Mobile Studio,MobileStudio Pro 16,Training,191,254112.27,37509.68,291621.95
2/2/2021,APAC,Display Tablet,Wacom One Display,Cloud Services,132,19054.15,2242.28,21296.43
2/3/2021,Europe,Mobile Studio,MobileStudio Pro 13,Cloud Services,213,133227,23102.35,156329.35
2/4/2021,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,178,300819.1,18965.17,319784.27
2/5/2021,Europe,Mobile Studio,MobileStudio Pro 13,Training,128,206551.67,29909.74,236461.41
2/6/2021,Europe,Accessories,Wacom Stand,Cloud Services,191,119069.01,17631.95,136700.96
2/7/2021,Japan,Display Tablet,Cintiq 16,Training,197,268802.19,20629.08,289431.27
2/8/2021,Latin America,Pen Tablet,Wacom Intuos M,Support Plan,246,371340.39,22822.51,394162.9
2/9/2021,Europe,Mobile Studio,MobileStudio Pro 13,Extended Warranty,135,82857.16,12332.18,95189.34
2/10/2021,Japan,Display Tablet,Cintiq Pro 24,Extended Warranty,173,17986.88,1297.79,19284.67
2/11/2021,North America,Display Tablet,Wacom One Display,Extended Warranty,97,92236.09,12654.49,104890.58
2/12/2021,Japan,Accessories,ExpressKey Remote,Support Plan,166,217543.04,31208.24,248751.28
2/13/2021,Japan,Accessories,Pro Pen 2,Support Plan,199,152003.06,12484.44,164487.5
2/14/2021,Japan,Pen Tablet,Wacom Intuos S,Extended Warranty,233,133436.19,22613.86,156050.05
2/15/2021,Japan,Display Tablet,Wacom One Display,Extended Warranty,187,49020.84,2923.97,51944.81
2/16/2021,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,255,429623.98,65565.14,495189.12
2/17/2021,APAC,Display Tablet,Cintiq 16,Cloud Services,192,51403.71,8025.15,59428.86
2/18/2021,Japan,Display Tablet,Cintiq Pro 24,Support Plan,173,194166.07,31354.61,225520.68
2/19/2021,Europe,Accessories,ExpressKey Remote,Training,144,172990.28,27929.05,200919.33
2/20/2021,Japan,Display Tablet,Cintiq 16,Support Plan,128,174482.5,26926.07,201408.57
2/21/2021,Latin America,Accessories,Pro Pen 2,Support Plan,165,54683.97,8500.79,63184.76
2/22/2021,Latin America,Display Tablet,Wacom One Display,Support Plan,211,76954.77,6145.67,83100.44
2/23/2021,Japan,Mobile Studio,MobileStudio Pro 13,Support Plan,170,29797.62,1920.45,31718.07
2/24/2021,Japan,Accessories,Pro Pen 2,Extended Warranty,220,166549.76,14076.58,180626.34
2/25/2021,APAC,Accessories,ExpressKey Remote,Cloud Services,151,23371.34,1528.71,24900.05
2/26/2021,Europe,Accessories,Pro Pen 2,Support Plan,242,192625.07,9033.26,201658.33
2/27/2021,Latin America,Pen Tablet,Wacom Intuos S,Extended Warranty,135,204329.08,9659.59,213988.67
2/28/2021,APAC,Display Tablet,Cintiq Pro 24,Support Plan,217,354266.26,62754.69,417020.95
3/1/2021,Japan,Display Tablet,Cintiq Pro 24,Cloud Services,182,258417.02,15204.56,273621.58
3/2/2021,Europe,Accessories,ExpressKey Remote,Extended Warranty,238,208491.55,19579.97,228071.52
3/3/2021,Europe,Mobile Studio,MobileStudio Pro 16,Training,165,148821.57,14638.76,163460.33
3/4/2021,Europe,Mobile Studio,MobileStudio Pro 13,Training,214,137664.57,12820.01,150484.58
3/5/2021,Europe,Pen Tablet,Wacom Intuos M,Training,232,384219.51,41237.3,425456.81
3/6/2021,Japan,Accessories,Pro Pen 2,Extended Warranty,249,299410.11,45694.43,345104.54
3/7/2021,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,152,204290.47,13960.52,218250.99
3/8/2021,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,182,206885.43,11029.77,217915.2
3/9/2021,Japan,Mobile Studio,MobileStudio Pro 16,Support Plan,117,37011.97,6449.09,43461.06
3/10/2021,Japan,Pen Tablet,Wacom Intuos M,Extended Warranty,205,296757.49,51173.99,347931.48
3/11/2021,APAC,Pen Tablet,One by Wacom,Extended Warranty,153,174390.17,11157.62,185547.79
3/12/2021,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,88,86145.55,12659.03,98804.58
3/13/2021,Japan,Accessories,Wacom Stand,Training,97,163127.45,9259.55,172387
3/14/2021,APAC,Accessories,Pro Pen 2,Support Plan,194,155201.22,23032.64,178233.86
3/15/2021,APAC,Pen Tablet,Wacom Intuos M,Training,189,263003.95,20481.4,283485.35
3/16/2021,Japan,Accessories,ExpressKey Remote,Training,173,57814.42,9889.61,67704.03
3/17/2021,APAC,Mobile Studio,MobileStudio Pro 13,Training,239,246444.39,42156.68,288601.07
3/18/2021,APAC,Display Tablet,Cintiq Pro 24,Training,180,319861.13,44936.15,364797.28
3/19/2021,Japan,Accessories,Wacom Stand,Support Plan,273,320984.41,18318.27,339302.68
3/20/2021,North America,Display Tablet,Cintiq 16,Extended Warranty,184,158502.55,24656.01,183158.56
3/21/2021,Latin America,Display Tablet,Wacom One Display,Training,148,88698.64,14952.98,103651.62
3/22/2021,Japan,Mobile Studio,MobileStudio Pro 16,Support Plan,87,138523.49,11046.86,149570.35
3/23/2021,North America,Accessories,Wacom Stand,Support Plan,185,43578.24,7215.89,50794.13
3/24/2021,Europe,Accessories,Pro Pen 2,Support Plan,172,243559.03,16500.78,260059.81
3/25/2021,Europe,Pen Tablet,Wacom Intuos M,Extended Warranty,169,15098.34,713.13,15811.47
3/26/2021,Latin America,Accessories,ExpressKey Remote,Cloud Services,120,184917.99,8878.37,193796.36
3/27/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,187,239503.57,37678.04,277181.61
3/28/2021,Japan,Display Tablet,Wacom One Display,Support Plan,234,272287.17,43336.78,315623.95
3/29/2021,Latin America,Display Tablet,Wacom One Display,Extended Warranty,144,78581.53,10953.22,89534.75
3/30/2021,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,195,222310.03,10210.49,232520.52
3/31/2021,Japan,Pen Tablet,Wacom Intuos M,Extended Warranty,217,51593.95,3389.45,54983.4
4/1/2021,Japan,Display Tablet,Cintiq Pro 24,Training,197,231400.6,27799.97,259200.57
4/2/2021,Europe,Display Tablet,Wacom One Display,Cloud Services,166,178315.48,24601.94,202917.42
4/3/2021,Japan,Display Tablet,Cintiq 16,Cloud Services,195,186101.51,17970.86,204072.37
4/4/2021,North America,Accessories,ExpressKey Remote,Support Plan,182,101608.77,8398.84,110007.61
4/5/2021,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,178,140320.02,13643.26,153963.28
4/6/2021,Latin America,Accessories,Pro Pen 2,Extended Warranty,135,19173.09,1890.01,21063.1
4/7/2021,North America,Display Tablet,Cintiq 16,Support Plan,141,148491,20533.38,169024.38
4/8/2021,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,204,292614.22,34200.81,326815.03
4/9/2021,Japan,Pen Tablet,Wacom Intuos S,Extended Warranty,283,272220.95,38965.38,311186.33
4/10/2021,North America,Mobile Studio,MobileStudio Pro 16,Cloud Services,177,172552.56,26224.86,198777.42
4/11/2021,Japan,Pen Tablet,One by Wacom,Cloud Services,206,314815.03,15041.71,329856.74
4/12/2021,Japan,Pen Tablet,One by Wacom,Training,167,103522.73,14904.89,118427.62
4/13/2021,Japan,Accessories,Pro Pen 2,Cloud Services,120,86434.79,5316.24,91751.03
4/14/2021,APAC,Pen Tablet,Wacom Intuos S,Support Plan,61,105438.39,18911.96,124350.35
4/15/2021,Japan,Display Tablet,Cintiq Pro 24,Training,198,256073.19,24147.15,280220.34
4/16/2021,Europe,Accessories,ExpressKey Remote,Support Plan,211,207445.05,13053.52,220498.57
4/17/2021,Japan,Mobile Studio,MobileStudio Pro 13,Cloud Services,245,253885.52,39979.29,293864.81
4/18/2021,APAC,Accessories,Wacom Stand,Support Plan,236,178233.12,9126.77,187359.89
4/19/2021,North America,Accessories,Wacom Stand,Training,242,82076.12,5362.01,87438.13
4/20/2021,Latin America,Pen Tablet,Wacom Intuos M,Support Plan,117,68134.02,7401.24,75535.26
4/21/2021,APAC,Accessories,ExpressKey Remote,Training,148,73867.99,11678.7,85546.69
4/22/2021,Japan,Accessories,ExpressKey Remote,Extended Warranty,169,235280.65,11325.28,246605.93
4/23/2021,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,206,315695.75,33956.28,349652.03
4/24/2021,APAC,Mobile Studio,MobileStudio Pro 16,Cloud Services,176,289419.66,35366.32,324785.98
4/25/2021,Europe,Pen Tablet,Wacom Intuos M,Training,144,110233.48,18566.32,128799.8
4/26/2021,Europe,Mobile Studio,MobileStudio Pro 16,Support Plan,216,88464.35,3846.01,92310.36
4/27/2021,APAC,Mobile Studio,MobileStudio Pro 16,Training,187,207454.2,8510.61,215964.81
4/28/2021,North America,Display Tablet,Wacom One Display,Extended Warranty,187,330748.06,41955.42,372703.48
4/29/2021,Latin America,Accessories,ExpressKey Remote,Cloud Services,194,256001.82,44761.81,300763.63
4/30/2021,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,208,278668.25,28316.15,306984.4
5/1/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,244,432727.73,34770.52,467498.25
5/2/2021,Latin America,Accessories,Wacom Stand,Extended Warranty,163,47768.13,2184.56,49952.69
5/3/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Training,212,186507.92,32994.81,219502.73
5/4/2021,North America,Pen Tablet,Wacom Intuos S,Cloud Services,230,238140.65,36266.05,274406.7
5/5/2021,Japan,Display Tablet,Cintiq Pro 24,Cloud Services,197,142046.46,6650.3,148696.76
5/6/2021,Latin America,Display Tablet,Wacom One Display,Extended Warranty,123,173528.35,27966.51,201494.86
5/7/2021,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,189,91362.69,11609.06,102971.75
5/8/2021,Japan,Pen Tablet,Wacom Intuos M,Support Plan,190,236537.52,10441.95,246979.47
5/9/2021,APAC,Accessories,ExpressKey Remote,Cloud Services,234,114372.74,18229.8,132602.54
5/10/2021,APAC,Mobile Studio,MobileStudio Pro 13,Cloud Services,163,178542.19,17063.56,195605.75
5/11/2021,Japan,Pen Tablet,One by Wacom,Cloud Services,135,30493.25,2679.43,33172.68
5/12/2021,Japan,Display Tablet,Cintiq Pro 24,Cloud Services,262,154512.6,15005.01,169517.61
5/13/2021,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,110,83036.23,13961.86,96998.09
5/14/2021,Europe,Pen Tablet,Wacom Intuos S,Support Plan,246,48099.56,3284.1,51383.66
5/15/2021,Europe,Mobile Studio,MobileStudio Pro 13,Training,187,125376.59,12393.91,137770.5
5/16/2021,Latin America,Accessories,Wacom Stand,Cloud Services,143,81425.67,13482.43,94908.1
5/17/2021,Japan,Display Tablet,Wacom One Display,Training,199,197171.65,28377.83,225549.48
5/18/2021,APAC,Pen Tablet,Wacom Intuos S,Extended Warranty,151,74769.15,6366.51,81135.66
5/19/2021,Europe,Pen Tablet,One by Wacom,Cloud Services,195,203923.54,30767.25,234690.79
5/20/2021,APAC,Mobile Studio,MobileStudio Pro 16,Training,205,367131.84,49358.54,416490.38
5/21/2021,APAC,Display Tablet,Cintiq Pro 24,Cloud Services,162,64558.37,7663.33,72221.7
5/22/2021,Japan,Display Tablet,Wacom One Display,Extended Warranty,163,156789.56,15775.56,172565.12
5/23/2021,Latin America,Pen Tablet,One by Wacom,Cloud Services,146,21995.78,1637.57,23633.35
5/24/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Training,171,105613.07,4978.02,110591.09
5/25/2021,APAC,Accessories,Pro Pen 2,Training,221,283075.88,19527.39,302603.27
5/26/2021,Japan,Accessories,Pro Pen 2,Training,205,16985.57,945.92,17931.49
5/27/2021,North America,Display Tablet,Cintiq Pro 24,Support Plan,171,157652.33,13657.92,171310.25
5/28/2021,Japan,Display Tablet,Cintiq 16,Cloud Services,139,73364.13,6246.86,79610.99
5/29/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Training,143,67581.08,5832.45,73413.53
5/30/2021,Japan,Pen Tablet,Wacom Intuos M,Support Plan,135,176023.78,10748.64,186772.42
5/31/2021,Europe,Mobile Studio,MobileStudio Pro 13,Support Plan,191,18322.02,1215.94,19537.96
6/1/2021,North America,Accessories,Pro Pen 2,Support Plan,90,44605.7,5338.84,49944.54
6/2/2021,APAC,Pen Tablet,Wacom Intuos S,Cloud Services,183,283246.57,35880.73,319127.3
6/3/2021,Latin America,Display Tablet,Wacom One Display,Cloud Services,144,74495.98,12562.34,87058.32
6/4/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,251,176162.36,27101.22,203263.58
6/5/2021,Japan,Pen Tablet,One by Wacom,Cloud Services,197,89069.96,8725.62,97795.58
6/6/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Support Plan,193,130457.05,5565.92,136022.97
6/7/2021,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,247,333538.49,28151.13,361689.62
6/8/2021,North America,Pen Tablet,Wacom Intuos M,Extended Warranty,180,58895.3,8070.62,66965.92
6/9/2021,APAC,Pen Tablet,One by Wacom,Extended Warranty,127,11035.42,467.03,11502.45
6/10/2021,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,180,292204.76,47703.37,339908.13
6/11/2021,North America,Display Tablet,Cintiq 16,Extended Warranty,173,28872.64,3558.25,32430.89
6/12/2021,Europe,Pen Tablet,One by Wacom,Extended Warranty,108,12013.5,1482.47,13495.97
6/13/2021,Latin America,Pen Tablet,One by Wacom,Cloud Services,181,204624.96,24042.56,228667.52
6/14/2021,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,231,243735.72,35629.07,279364.79
6/15/2021,North America,Mobile Studio,MobileStudio Pro 16,Training,188,19072.26,2888.38,21960.64
6/16/2021,Japan,Display Tablet,Cintiq 16,Training,154,247972.19,23632,271604.19
6/17/2021,Japan,Pen Tablet,Wacom Intuos M,Support Plan,134,51847.26,3522.29,55369.55
6/18/2021,Latin America,Accessories,Wacom Stand,Cloud Services,133,118111.65,16853.27,134964.92
6/19/2021,APAC,Mobile Studio,MobileStudio Pro 16,Training,175,237256.64,33775.63,271032.27
6/20/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,134,219067.76,35309.38,254377.14
6/21/2021,Japan,Accessories,Wacom Stand,Support Plan,237,322081.25,13926.67,336007.92
6/22/2021,Latin America,Pen Tablet,Wacom Intuos M,Training,250,401655.57,38256.96,439912.53
6/23/2021,Europe,Mobile Studio,MobileStudio Pro 13,Extended Warranty,214,167716.24,20838.49,188554.73
6/24/2021,Japan,Mobile Studio,MobileStudio Pro 16,Training,216,157419.57,14982.4,172401.97
6/25/2021,Europe,Accessories,Pro Pen 2,Support Plan,196,130124.74,22600.82,152725.56
6/26/2021,North America,Mobile Studio,MobileStudio Pro 13,Support Plan,177,282382.62,22290.12,304672.74
6/27/2021,Latin America,Display Tablet,Wacom One Display,Support Plan,163,144365.29,11018.19,155383.48
6/28/2021,North America,Pen Tablet,One by Wacom,Training,208,250085.27,27352.06,277437.33
6/29/2021,Europe,Accessories,Pro Pen 2,Training,171,238624.02,38833.56,277457.58
6/30/2021,North America,Accessories,Wacom Stand,Cloud Services,135,232086.4,11617.11,243703.51
7/1/2021,Latin America,Display Tablet,Wacom One Display,Training,162,39981.92,6333.6,46315.52
7/2/2021,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,163,84042.7,5247.94,89290.64
7/3/2021,Europe,Pen Tablet,Wacom Intuos M,Extended Warranty,145,85430.6,7857.51,93288.11
7/4/2021,North America,Accessories,ExpressKey Remote,Cloud Services,174,75815.15,13026.21,88841.36
7/5/2021,Europe,Display Tablet,Wacom One Display,Cloud Services,128,68481.08,10854.73,79335.81
7/6/2021,APAC,Mobile Studio,MobileStudio Pro 13,Training,202,101372.78,14134.85,115507.63
7/7/2021,Japan,Pen Tablet,Wacom Intuos M,Cloud Services,141,140021.84,10470.4,150492.24
7/8/2021,Europe,Display Tablet,Wacom One Display,Support Plan,145,233064.41,34687.03,267751.44
7/9/2021,Europe,Display Tablet,Cintiq 16,Training,173,173501.18,17495.66,190996.84
7/10/2021,Europe,Display Tablet,Wacom One Display,Support Plan,197,179091.3,31063.17,210154.47
7/11/2021,Europe,Pen Tablet,One by Wacom,Extended Warranty,133,68558.51,3030.81,71589.32
7/12/2021,North America,Display Tablet,Wacom One Display,Cloud Services,215,242086.18,25443.74,267529.92
7/13/2021,Japan,Accessories,ExpressKey Remote,Extended Warranty,193,343616.95,53110.5,396727.45
7/14/2021,Europe,Accessories,Wacom Stand,Training,198,329381.96,28917.82,358299.78
7/15/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Training,160,184169.45,26726.19,210895.64
7/16/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,185,154168.29,19958.92,174127.21
7/17/2021,Japan,Accessories,Pro Pen 2,Cloud Services,169,31560.5,3287.24,34847.74
7/18/2021,Japan,Accessories,Pro Pen 2,Support Plan,175,132271.14,22361.67,154632.81
7/19/2021,Japan,Mobile Studio,MobileStudio Pro 13,Extended Warranty,224,272186.04,33739.46,305925.5
7/20/2021,APAC,Pen Tablet,Wacom Intuos S,Cloud Services,118,45411.72,6127.55,51539.27
7/21/2021,Japan,Accessories,Wacom Stand,Support Plan,123,198654.7,28794.32,227449.02
7/22/2021,Japan,Display Tablet,Cintiq Pro 24,Extended Warranty,160,96042.57,16582.23,112624.8
7/23/2021,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,175,183107.5,25775.96,208883.46
7/24/2021,APAC,Mobile Studio,MobileStudio Pro 16,Cloud Services,212,252908.26,22238.41,275146.67
7/25/2021,Japan,Mobile Studio,MobileStudio Pro 13,Training,180,42797.65,5711.29,48508.94
7/26/2021,APAC,Pen Tablet,Wacom Intuos S,Extended Warranty,195,125123.81,8470.05,133593.86
7/27/2021,Latin America,Pen Tablet,Wacom Intuos M,Cloud Services,138,169560.68,9853.31,179413.99
7/28/2021,APAC,Accessories,Pro Pen 2,Support Plan,204,253071.56,42375.76,295447.32
7/29/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,95,163307.53,20480.15,183787.68
7/30/2021,Europe,Mobile Studio,MobileStudio Pro 13,Extended Warranty,221,388725.92,37300.06,426025.98
7/31/2021,Japan,Display Tablet,Cintiq Pro 24,Support Plan,158,250459.24,31415.56,281874.8
8/1/2021,North America,Display Tablet,Cintiq 16,Cloud Services,207,131281.67,15259.76,146541.43
8/2/2021,Japan,Mobile Studio,MobileStudio Pro 13,Extended Warranty,149,74504.86,12499.98,87004.84
8/3/2021,Europe,Accessories,Wacom Stand,Cloud Services,197,268192.93,39438.69,307631.62
8/4/2021,North America,Pen Tablet,Wacom Intuos M,Training,124,61155.46,7967.01,69122.47
8/5/2021,Europe,Mobile Studio,MobileStudio Pro 13,Training,197,154678.43,10926.47,165604.9
8/6/2021,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,154,14308.46,1245.67,15554.13
8/7/2021,North America,Display Tablet,Cintiq Pro 24,Cloud Services,176,248486.96,13964.62,262451.58
8/8/2021,Japan,Pen Tablet,Wacom Intuos S,Cloud Services,143,49308.88,4891.05,54199.93
8/9/2021,Latin America,Display Tablet,Cintiq 16,Cloud Services,237,47348.31,2808.69,50157
8/10/2021,Europe,Mobile Studio,MobileStudio Pro 16,Training,184,224689.69,12505.84,237195.53
8/11/2021,Japan,Mobile Studio,MobileStudio Pro 16,Support Plan,168,172999.36,19048.49,192047.85
8/12/2021,APAC,Display Tablet,Cintiq Pro 24,Extended Warranty,153,275247.87,30911.52,306159.39
8/13/2021,APAC,Pen Tablet,One by Wacom,Extended Warranty,218,136799.66,14305.04,151104.7
8/14/2021,Europe,Pen Tablet,Wacom Intuos S,Support Plan,200,137548.17,20665.92,158214.09
8/15/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,232,146869.59,21271.84,168141.43
8/16/2021,North America,Mobile Studio,MobileStudio Pro 16,Training,170,55678.9,9079.54,64758.44
8/17/2021,Europe,Accessories,Pro Pen 2,Support Plan,194,38049.57,1803.28,39852.85
8/18/2021,North America,Pen Tablet,One by Wacom,Training,170,23786.73,3123.58,26910.31
8/19/2021,Europe,Mobile Studio,MobileStudio Pro 16,Support Plan,170,265298.2,41184.21,306482.41
8/20/2021,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,235,178249.43,25541.66,203791.09
8/21/2021,Europe,Mobile Studio,MobileStudio Pro 13,Cloud Services,176,241200.52,25339.36,266539.88
8/22/2021,Japan,Display Tablet,Cintiq 16,Support Plan,158,216865.14,12284.86,229150
8/23/2021,Europe,Accessories,Pro Pen 2,Support Plan,220,329063.92,31521.34,360585.26
8/24/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,157,133734.92,12705.96,146440.88
8/25/2021,Latin America,Pen Tablet,Wacom Intuos M,Cloud Services,81,33271.33,2359.33,35630.66
8/26/2021,Latin America,Display Tablet,Cintiq 16,Training,119,125454.98,14694.19,140149.17
8/27/2021,Europe,Display Tablet,Cintiq Pro 24,Extended Warranty,163,26906.36,3342.26,30248.62
8/28/2021,APAC,Display Tablet,Cintiq 16,Training,140,193704.8,30164.8,223869.6
8/29/2021,North America,Display Tablet,Cintiq 16,Training,194,189673.76,15944.91,205618.67
8/30/2021,APAC,Display Tablet,Cintiq 16,Extended Warranty,205,16776.39,1169.63,17946.02
8/31/2021,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,204,328695.82,34773.99,363469.81
9/1/2021,Latin America,Accessories,ExpressKey Remote,Cloud Services,210,94522.39,11532.49,106054.88
9/2/2021,Europe,Display Tablet,Wacom One Display,Extended Warranty,239,59881.45,4130.5,64011.95
9/3/2021,Japan,Pen Tablet,Wacom Intuos S,Support Plan,175,272944.85,23160.9,296105.75
9/4/2021,Europe,Display Tablet,Cintiq 16,Support Plan,271,145111.92,18206.89,163318.81
9/5/2021,Latin America,Display Tablet,Wacom One Display,Cloud Services,151,38008.12,2091.83,40099.95
9/6/2021,Japan,Pen Tablet,One by Wacom,Extended Warranty,132,204084.88,29714.35,233799.23
9/7/2021,APAC,Pen Tablet,Wacom Intuos M,Extended Warranty,211,32912.03,3165.38,36077.41
9/8/2021,Japan,Pen Tablet,One by Wacom,Cloud Services,202,296262.99,18915.73,315178.72
9/9/2021,Europe,Accessories,Wacom Stand,Training,183,139764.98,17032.51,156797.49
9/10/2021,APAC,Display Tablet,Wacom One Display,Training,204,52560.11,8475.86,61035.97
9/11/2021,Japan,Pen Tablet,Wacom Intuos S,Training,158,129909.6,16711.69,146621.29
9/12/2021,Latin America,Display Tablet,Cintiq Pro 24,Cloud Services,173,111815.34,11533.36,123348.7
9/13/2021,Europe,Accessories,ExpressKey Remote,Training,192,198444.73,16847.99,215292.72
9/14/2021,North America,Accessories,ExpressKey Remote,Training,249,91041.3,12858.3,103899.6
9/15/2021,Latin America,Accessories,ExpressKey Remote,Support Plan,162,223483.54,16993.49,240477.03
9/16/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,206,253501.53,12005.99,265507.52
9/17/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Training,194,208713.22,8483.49,217196.71
9/18/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,194,24373.34,3511.82,27885.16
9/19/2021,Europe,Pen Tablet,Wacom Intuos M,Training,211,18866.3,2832.42,21698.72
9/20/2021,Latin America,Accessories,Pro Pen 2,Cloud Services,260,273502.84,21291.61,294794.45
9/21/2021,Japan,Mobile Studio,MobileStudio Pro 13,Cloud Services,94,94259.37,16510.3,110769.67
9/22/2021,APAC,Pen Tablet,Wacom Intuos M,Cloud Services,133,146585.82,23884.79,170470.61
9/23/2021,North America,Mobile Studio,MobileStudio Pro 13,Support Plan,204,185361.19,22060.76,207421.95
9/24/2021,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,229,164049.44,16153.41,180202.85
9/25/2021,Latin America,Pen Tablet,One by Wacom,Cloud Services,152,86512.79,7140.03,93652.82
9/26/2021,North America,Mobile Studio,MobileStudio Pro 16,Support Plan,195,171116.83,23377.6,194494.43
9/27/2021,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,179,204809.91,9342.06,214151.97
9/28/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,116,37137.71,2465.44,39603.15
9/29/2021,North America,Display Tablet,Cintiq 16,Support Plan,215,166966.8,25588.62,192555.42
