Date,Region,Product_Category,Product_Name,Service_Type,Units_Sold,Product_Revenue_USD,Service_Revenue_USD,Total_Revenue_USD,Revenue_Outlier_Flag,Year,Month,Day_Of_Week,Revenue_per_Unit,Next_Month_Revenue
2021-02-12,Japan,Accessories,ExpressKey Remote,Support Plan,166,217543.04,31208.24,248751.28,0,2021,2,4,1498.5,6319308.26
2021-02-13,Japan,Accessories,Pro Pen 2,Support Plan,199,152003.06,12484.44,164487.5,0,2021,2,5,826.57,6319308.26
2021-02-14,Japan,Pen Tablet,Wacom Intuos S,Extended Warranty,233,133436.19,22613.86,156050.05,0,2021,2,6,669.74,6319308.26
2021-02-15,Japan,Display Tablet,Wacom One Display,Extended Warranty,187,49020.84,2923.97,51944.81,0,2021,2,0,277.78,6319308.26
2021-02-16,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,255,429623.98,65565.14,495189.12,0,2021,2,1,1941.92,6319308.26
2021-02-17,APAC,Display Tablet,Cintiq 16,Cloud Services,192,51403.71,8025.15,59428.86,0,2021,2,2,309.53,6319308.26
2021-02-18,Japan,Display Tablet,Cintiq Pro 24,Support Plan,173,194166.07,31354.61,225520.68,0,2021,2,3,1303.59,6319308.26
2021-02-19,Europe,Accessories,ExpressKey Remote,Training,144,172990.28,27929.05,200919.33,0,2021,2,4,1395.27,6319308.26
2021-02-20,Japan,Display Tablet,Cintiq 16,Support Plan,128,174482.5,26926.07,201408.57,0,2021,2,5,1573.5,6319308.26
2021-02-21,Latin America,Accessories,Pro Pen 2,Support Plan,165,54683.97,8500.79,63184.76,0,2021,2,6,382.94,6319308.26
2021-02-22,Latin America,Display Tablet,Wacom One Display,Support Plan,211,76954.77,6145.67,83100.44,0,2021,2,0,393.84,6319308.26
2021-02-23,Japan,Mobile Studio,MobileStudio Pro 13,Support Plan,170,29797.62,1920.45,31718.07,0,2021,2,1,186.58,6319308.26
2021-02-24,Japan,Accessories,Pro Pen 2,Extended Warranty,220,166549.76,14076.58,180626.34,0,2021,2,2,821.03,6319308.26
2021-02-25,APAC,Accessories,ExpressKey Remote,Cloud Services,151,23371.34,1528.71,24900.05,0,2021,2,3,164.9,6319308.26
2021-02-26,Europe,Accessories,Pro Pen 2,Support Plan,242,192625.07,9033.26,201658.33,0,2021,2,4,833.3,6319308.26
2021-02-27,Latin America,Pen Tablet,Wacom Intuos S,Extended Warranty,135,204329.08,9659.59,213988.67,0,2021,2,5,1585.1,6319308.26
2021-02-28,APAC,Display Tablet,Cintiq Pro 24,Support Plan,217,354266.26,62754.69,417020.95,0,2021,2,6,1921.76,6319308.26
2021-03-01,Japan,Display Tablet,Cintiq Pro 24,Cloud Services,182,258417.02,15204.56,273621.58,0,2021,3,0,1503.42,6190447.36
2021-03-02,Europe,Accessories,ExpressKey Remote,Extended Warranty,238,208491.55,19579.97,228071.52,0,2021,3,1,958.28,6190447.36
2021-03-03,Europe,Mobile Studio,MobileStudio Pro 16,Training,165,148821.57,14638.76,163460.33,0,2021,3,2,990.67,6190447.36
2021-03-04,Europe,Mobile Studio,MobileStudio Pro 13,Training,214,137664.57,12820.01,150484.58,0,2021,3,3,703.2,6190447.36
2021-03-05,Europe,Pen Tablet,Wacom Intuos M,Training,232,384219.51,41237.3,425456.81,0,2021,3,4,1833.87,6190447.36
2021-03-06,Japan,Accessories,Pro Pen 2,Extended Warranty,249,299410.11,45694.43,345104.54,0,2021,3,5,1385.96,6190447.36
2021-03-07,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,152,204290.47,13960.52,218250.99,0,2021,3,6,1435.86,6190447.36
2021-03-08,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,182,206885.43,11029.77,217915.2,0,2021,3,0,1197.34,6190447.36
2021-03-09,Japan,Mobile Studio,MobileStudio Pro 16,Support Plan,117,37011.97,6449.09,43461.06,0,2021,3,1,371.46,6190447.36
2021-03-10,Japan,Pen Tablet,Wacom Intuos M,Extended Warranty,205,296757.49,51173.99,347931.48,0,2021,3,2,1697.23,6190447.36
2021-03-11,APAC,Pen Tablet,One by Wacom,Extended Warranty,153,174390.17,11157.62,185547.79,0,2021,3,3,1212.73,6190447.36
2021-03-12,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,88,86145.55,12659.03,98804.58,0,2021,3,4,1122.78,6190447.36
2021-03-13,Japan,Accessories,Wacom Stand,Training,97,163127.45,9259.55,172387.0,0,2021,3,5,1777.19,6190447.36
2021-03-14,APAC,Accessories,Pro Pen 2,Support Plan,194,155201.22,23032.64,178233.86,0,2021,3,6,918.73,6190447.36
2021-03-15,APAC,Pen Tablet,Wacom Intuos M,Training,189,263003.95,20481.4,283485.35,0,2021,3,0,1499.92,6190447.36
2021-03-16,Japan,Accessories,ExpressKey Remote,Training,173,57814.42,9889.61,67704.03,0,2021,3,1,391.35,6190447.36
2021-03-17,APAC,Mobile Studio,MobileStudio Pro 13,Training,239,246444.39,42156.68,288601.07,0,2021,3,2,1207.54,6190447.36
2021-03-18,APAC,Display Tablet,Cintiq Pro 24,Training,180,319861.13,44936.15,364797.28,0,2021,3,3,2026.65,6190447.36
2021-03-19,Japan,Accessories,Wacom Stand,Support Plan,273,320984.41,18318.27,339302.68,0,2021,3,4,1242.87,6190447.36
2021-03-20,North America,Display Tablet,Cintiq 16,Extended Warranty,184,158502.55,24656.01,183158.56,0,2021,3,5,995.43,6190447.36
2021-03-21,Latin America,Display Tablet,Wacom One Display,Training,148,88698.64,14952.98,103651.62,0,2021,3,6,700.35,6190447.36
2021-03-22,Japan,Mobile Studio,MobileStudio Pro 16,Support Plan,87,138523.49,11046.86,149570.35,0,2021,3,0,1719.2,6190447.36
2021-03-23,North America,Accessories,Wacom Stand,Support Plan,185,43578.24,7215.89,50794.13,0,2021,3,1,274.56,6190447.36
2021-03-24,Europe,Accessories,Pro Pen 2,Support Plan,172,243559.03,16500.78,260059.81,0,2021,3,2,1511.98,6190447.36
2021-03-25,Europe,Pen Tablet,Wacom Intuos M,Extended Warranty,169,15098.34,713.13,15811.47,0,2021,3,3,93.56,6190447.36
2021-03-26,Latin America,Accessories,ExpressKey Remote,Cloud Services,120,184917.99,8878.37,193796.36,0,2021,3,4,1614.97,6190447.36
2021-03-27,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,187,239503.57,37678.04,277181.61,0,2021,3,5,1482.25,6190447.36
2021-03-28,Japan,Display Tablet,Wacom One Display,Support Plan,234,272287.17,43336.78,315623.95,0,2021,3,6,1348.82,6190447.36
2021-03-29,Latin America,Display Tablet,Wacom One Display,Extended Warranty,144,78581.53,10953.22,89534.75,0,2021,3,0,621.77,6190447.36
2021-03-30,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,195,222310.03,10210.49,232520.52,0,2021,3,1,1192.41,6190447.36
2021-03-31,Japan,Pen Tablet,Wacom Intuos M,Extended Warranty,217,51593.95,3389.45,54983.4,0,2021,3,2,253.38,6190447.36
2021-04-01,Japan,Display Tablet,Cintiq Pro 24,Training,197,231400.6,27799.97,259200.57,0,2021,4,3,1315.74,4811519.62
2021-04-02,Europe,Display Tablet,Wacom One Display,Cloud Services,166,178315.48,24601.94,202917.42,0,2021,4,4,1222.39,4811519.62
2021-04-03,Japan,Display Tablet,Cintiq 16,Cloud Services,195,186101.51,17970.86,204072.37,0,2021,4,5,1046.52,4811519.62
2021-04-04,North America,Accessories,ExpressKey Remote,Support Plan,182,101608.77,8398.84,110007.61,0,2021,4,6,604.44,4811519.62
2021-04-05,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,178,140320.02,13643.26,153963.28,0,2021,4,0,864.96,4811519.62
2021-04-06,Latin America,Accessories,Pro Pen 2,Extended Warranty,135,19173.09,1890.01,21063.1,0,2021,4,1,156.02,4811519.62
2021-04-07,North America,Display Tablet,Cintiq 16,Support Plan,141,148491.0,20533.38,169024.38,0,2021,4,2,1198.75,4811519.62
2021-04-08,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,204,292614.22,34200.81,326815.03,0,2021,4,3,1602.03,4811519.62
2021-04-09,Japan,Pen Tablet,Wacom Intuos S,Extended Warranty,283,272220.95,38965.38,311186.33,0,2021,4,4,1099.6,4811519.62
2021-04-10,North America,Mobile Studio,MobileStudio Pro 16,Cloud Services,177,172552.56,26224.86,198777.42,0,2021,4,5,1123.04,4811519.62
2021-04-11,Japan,Pen Tablet,One by Wacom,Cloud Services,206,314815.03,15041.71,329856.74,0,2021,4,6,1601.25,4811519.62
2021-04-12,Japan,Pen Tablet,One by Wacom,Training,167,103522.73,14904.89,118427.62,0,2021,4,0,709.15,4811519.62
2021-04-13,Japan,Accessories,Pro Pen 2,Cloud Services,120,86434.79,5316.24,91751.03,0,2021,4,1,764.59,4811519.62
2021-04-14,APAC,Pen Tablet,Wacom Intuos S,Support Plan,61,105438.39,18911.96,124350.35,0,2021,4,2,2038.53,4811519.62
2021-04-15,Japan,Display Tablet,Cintiq Pro 24,Training,198,256073.19,24147.15,280220.34,0,2021,4,3,1415.25,4811519.62
2021-04-16,Europe,Accessories,ExpressKey Remote,Support Plan,211,207445.05,13053.52,220498.57,0,2021,4,4,1045.02,4811519.62
2021-04-17,Japan,Mobile Studio,MobileStudio Pro 13,Cloud Services,245,253885.52,39979.29,293864.81,0,2021,4,5,1199.45,4811519.62
2021-04-18,APAC,Accessories,Wacom Stand,Support Plan,236,178233.12,9126.77,187359.89,0,2021,4,6,793.9,4811519.62
2021-04-19,North America,Accessories,Wacom Stand,Training,242,82076.12,5362.01,87438.13,0,2021,4,0,361.31,4811519.62
2021-04-20,Latin America,Pen Tablet,Wacom Intuos M,Support Plan,117,68134.02,7401.24,75535.26,0,2021,4,1,645.6,4811519.62
2021-04-21,APAC,Accessories,ExpressKey Remote,Training,148,73867.99,11678.7,85546.69,0,2021,4,2,578.02,4811519.62
2021-04-22,Japan,Accessories,ExpressKey Remote,Extended Warranty,169,235280.65,11325.28,246605.93,0,2021,4,3,1459.21,4811519.62
2021-04-23,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,206,315695.75,33956.28,349652.03,0,2021,4,4,1697.34,4811519.62
2021-04-24,APAC,Mobile Studio,MobileStudio Pro 16,Cloud Services,176,289419.66,35366.32,324785.98,0,2021,4,5,1845.37,4811519.62
2021-04-25,Europe,Pen Tablet,Wacom Intuos M,Training,144,110233.48,18566.32,128799.8,0,2021,4,6,894.44,4811519.62
2021-04-26,Europe,Mobile Studio,MobileStudio Pro 16,Support Plan,216,88464.35,3846.01,92310.36,0,2021,4,0,427.36,4811519.62
2021-04-27,APAC,Mobile Studio,MobileStudio Pro 16,Training,187,207454.2,8510.61,215964.81,0,2021,4,1,1154.89,4811519.62
2021-04-28,North America,Display Tablet,Wacom One Display,Extended Warranty,187,330748.06,41955.42,372703.48,0,2021,4,2,1993.07,4811519.62
2021-04-29,Latin America,Accessories,ExpressKey Remote,Cloud Services,194,256001.82,44761.81,300763.63,0,2021,4,3,1550.33,4811519.62
2021-04-30,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,208,278668.25,28316.15,306984.4,0,2021,4,4,1475.89,4811519.62
2021-05-01,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,244,432727.73,34770.52,467498.25,0,2021,5,5,1915.98,5784803.64
2021-05-02,Latin America,Accessories,Wacom Stand,Extended Warranty,163,47768.13,2184.56,49952.69,0,2021,5,6,306.46,5784803.64
2021-05-03,Latin America,Mobile Studio,MobileStudio Pro 16,Training,212,186507.92,32994.81,219502.73,0,2021,5,0,1035.39,5784803.64
2021-05-04,North America,Pen Tablet,Wacom Intuos S,Cloud Services,230,238140.65,36266.05,274406.7,0,2021,5,1,1193.07,5784803.64
2021-05-05,Japan,Display Tablet,Cintiq Pro 24,Cloud Services,197,142046.46,6650.3,148696.76,0,2021,5,2,754.81,5784803.64
2021-05-06,Latin America,Display Tablet,Wacom One Display,Extended Warranty,123,173528.35,27966.51,201494.86,0,2021,5,3,1638.17,5784803.64
2021-05-07,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,189,91362.69,11609.06,102971.75,0,2021,5,4,544.82,5784803.64
2021-05-08,Japan,Pen Tablet,Wacom Intuos M,Support Plan,190,236537.52,10441.95,246979.47,0,2021,5,5,1299.89,5784803.64
2021-05-09,APAC,Accessories,ExpressKey Remote,Cloud Services,234,114372.74,18229.8,132602.54,0,2021,5,6,566.68,5784803.64
2021-05-10,APAC,Mobile Studio,MobileStudio Pro 13,Cloud Services,163,178542.19,17063.56,195605.75,0,2021,5,0,1200.04,5784803.64
2021-05-11,Japan,Pen Tablet,One by Wacom,Cloud Services,135,30493.25,2679.43,33172.68,0,2021,5,1,245.72,5784803.64
2021-05-12,Japan,Display Tablet,Cintiq Pro 24,Cloud Services,262,154512.6,15005.01,169517.61,0,2021,5,2,647.01,5784803.64
2021-05-13,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,110,83036.23,13961.86,96998.09,0,2021,5,3,881.8,5784803.64
2021-05-14,Europe,Pen Tablet,Wacom Intuos S,Support Plan,246,48099.56,3284.1,51383.66,0,2021,5,4,208.88,5784803.64
2021-05-15,Europe,Mobile Studio,MobileStudio Pro 13,Training,187,125376.59,12393.91,137770.5,0,2021,5,5,736.74,5784803.64
2021-05-16,Latin America,Accessories,Wacom Stand,Cloud Services,143,81425.67,13482.43,94908.1,0,2021,5,6,663.69,5784803.64
2021-05-17,Japan,Display Tablet,Wacom One Display,Training,199,197171.65,28377.83,225549.48,0,2021,5,0,1133.41,5784803.64
2021-05-18,APAC,Pen Tablet,Wacom Intuos S,Extended Warranty,151,74769.15,6366.51,81135.66,0,2021,5,1,537.32,5784803.64
2021-05-19,Europe,Pen Tablet,One by Wacom,Cloud Services,195,203923.54,30767.25,234690.79,0,2021,5,2,1203.54,5784803.64
2021-05-20,APAC,Mobile Studio,MobileStudio Pro 16,Training,205,367131.84,49358.54,416490.38,0,2021,5,3,2031.66,5784803.64
2021-05-21,APAC,Display Tablet,Cintiq Pro 24,Cloud Services,162,64558.37,7663.33,72221.7,0,2021,5,4,445.81,5784803.64
2021-05-22,Japan,Display Tablet,Wacom One Display,Extended Warranty,163,156789.56,15775.56,172565.12,0,2021,5,5,1058.68,5784803.64
2021-05-23,Latin America,Pen Tablet,One by Wacom,Cloud Services,146,21995.78,1637.57,23633.35,0,2021,5,6,161.87,5784803.64
2021-05-24,Latin America,Mobile Studio,MobileStudio Pro 13,Training,171,105613.07,4978.02,110591.09,0,2021,5,0,646.73,5784803.64
2021-05-25,APAC,Accessories,Pro Pen 2,Training,221,283075.88,19527.39,302603.27,0,2021,5,1,1369.25,5784803.64
2021-05-26,Japan,Accessories,Pro Pen 2,Training,205,16985.57,945.92,17931.49,0,2021,5,2,87.47,5784803.64
2021-05-27,North America,Display Tablet,Cintiq Pro 24,Support Plan,171,157652.33,13657.92,171310.25,0,2021,5,3,1001.81,5784803.64
2021-05-28,Japan,Display Tablet,Cintiq 16,Cloud Services,139,73364.13,6246.86,79610.99,0,2021,5,4,572.74,5784803.64
2021-05-29,Latin America,Mobile Studio,MobileStudio Pro 13,Training,143,67581.08,5832.45,73413.53,0,2021,5,5,513.38,5784803.64
2021-05-30,Japan,Pen Tablet,Wacom Intuos M,Support Plan,135,176023.78,10748.64,186772.42,0,2021,5,6,1383.5,5784803.64
2021-05-31,Europe,Mobile Studio,MobileStudio Pro 13,Support Plan,191,18322.02,1215.94,19537.96,0,2021,5,0,102.29,5784803.64
2021-06-01,North America,Accessories,Pro Pen 2,Support Plan,90,44605.7,5338.84,49944.54,0,2021,6,1,554.94,5730845.22
2021-06-02,APAC,Pen Tablet,Wacom Intuos S,Cloud Services,183,283246.57,35880.73,319127.3,0,2021,6,2,1743.87,5730845.22
2021-06-03,Latin America,Display Tablet,Wacom One Display,Cloud Services,144,74495.98,12562.34,87058.32,0,2021,6,3,604.57,5730845.22
2021-06-04,Latin America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,251,176162.36,27101.22,203263.58,0,2021,6,4,809.82,5730845.22
2021-06-05,Japan,Pen Tablet,One by Wacom,Cloud Services,197,89069.96,8725.62,97795.58,0,2021,6,5,496.42,5730845.22
2021-06-06,Latin America,Mobile Studio,MobileStudio Pro 13,Support Plan,193,130457.05,5565.92,136022.97,0,2021,6,6,704.78,5730845.22
2021-06-07,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,247,333538.49,28151.13,361689.62,0,2021,6,0,1464.33,5730845.22
2021-06-08,North America,Pen Tablet,Wacom Intuos M,Extended Warranty,180,58895.3,8070.62,66965.92,0,2021,6,1,372.03,5730845.22
2021-06-09,APAC,Pen Tablet,One by Wacom,Extended Warranty,127,11035.42,467.03,11502.45,0,2021,6,2,90.57,5730845.22
2021-06-10,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,180,292204.76,47703.37,339908.13,0,2021,6,3,1888.38,5730845.22
2021-06-11,North America,Display Tablet,Cintiq 16,Extended Warranty,173,28872.64,3558.25,32430.89,0,2021,6,4,187.46,5730845.22
2021-06-12,Europe,Pen Tablet,One by Wacom,Extended Warranty,108,12013.5,1482.47,13495.97,0,2021,6,5,124.96,5730845.22
2021-06-13,Latin America,Pen Tablet,One by Wacom,Cloud Services,181,204624.96,24042.56,228667.52,0,2021,6,6,1263.36,5730845.22
2021-06-14,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,231,243735.72,35629.07,279364.79,0,2021,6,0,1209.37,5730845.22
2021-06-15,North America,Mobile Studio,MobileStudio Pro 16,Training,188,19072.26,2888.38,21960.64,0,2021,6,1,116.81,5730845.22
2021-06-16,Japan,Display Tablet,Cintiq 16,Training,154,247972.19,23632.0,271604.19,0,2021,6,2,1763.66,5730845.22
2021-06-17,Japan,Pen Tablet,Wacom Intuos M,Support Plan,134,51847.26,3522.29,55369.55,0,2021,6,3,413.21,5730845.22
2021-06-18,Latin America,Accessories,Wacom Stand,Cloud Services,133,118111.65,16853.27,134964.92,0,2021,6,4,1014.77,5730845.22
2021-06-19,APAC,Mobile Studio,MobileStudio Pro 16,Training,175,237256.64,33775.63,271032.27,0,2021,6,5,1548.76,5730845.22
2021-06-20,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,134,219067.76,35309.38,254377.14,0,2021,6,6,1898.34,5730845.22
2021-06-21,Japan,Accessories,Wacom Stand,Support Plan,237,322081.25,13926.67,336007.92,0,2021,6,0,1417.75,5730845.22
2021-06-22,Latin America,Pen Tablet,Wacom Intuos M,Training,250,401655.57,38256.96,439912.53,0,2021,6,1,1759.65,5730845.22
2021-06-23,Europe,Mobile Studio,MobileStudio Pro 13,Extended Warranty,214,167716.24,20838.49,188554.73,0,2021,6,2,881.1,5730845.22
2021-06-24,Japan,Mobile Studio,MobileStudio Pro 16,Training,216,157419.57,14982.4,172401.97,0,2021,6,3,798.16,5730845.22
2021-06-25,Europe,Accessories,Pro Pen 2,Support Plan,196,130124.74,22600.82,152725.56,0,2021,6,4,779.21,5730845.22
2021-06-26,North America,Mobile Studio,MobileStudio Pro 13,Support Plan,177,282382.62,22290.12,304672.74,0,2021,6,5,1721.31,5730845.22
2021-06-27,Latin America,Display Tablet,Wacom One Display,Support Plan,163,144365.29,11018.19,155383.48,0,2021,6,6,953.27,5730845.22
2021-06-28,North America,Pen Tablet,One by Wacom,Training,208,250085.27,27352.06,277437.33,0,2021,6,0,1333.83,5730845.22
2021-06-29,Europe,Accessories,Pro Pen 2,Training,171,238624.02,38833.56,277457.58,0,2021,6,1,1622.56,5730845.22
2021-06-30,North America,Accessories,Wacom Stand,Cloud Services,135,232086.4,11617.11,243703.51,0,2021,6,2,1805.21,5730845.22
2021-07-01,Latin America,Display Tablet,Wacom One Display,Training,162,39981.92,6333.6,46315.52,0,2021,7,3,285.9,5032574.5600000005
2021-07-02,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,163,84042.7,5247.94,89290.64,0,2021,7,4,547.8,5032574.5600000005
2021-07-03,Europe,Pen Tablet,Wacom Intuos M,Extended Warranty,145,85430.6,7857.51,93288.11,0,2021,7,5,643.37,5032574.5600000005
2021-07-04,North America,Accessories,ExpressKey Remote,Cloud Services,174,75815.15,13026.21,88841.36,0,2021,7,6,510.58,5032574.5600000005
2021-07-05,Europe,Display Tablet,Wacom One Display,Cloud Services,128,68481.08,10854.73,79335.81,0,2021,7,0,619.81,5032574.5600000005
2021-07-06,APAC,Mobile Studio,MobileStudio Pro 13,Training,202,101372.78,14134.85,115507.63,0,2021,7,1,571.82,5032574.5600000005
2021-07-07,Japan,Pen Tablet,Wacom Intuos M,Cloud Services,141,140021.84,10470.4,150492.24,0,2021,7,2,1067.32,5032574.5600000005
2021-07-08,Europe,Display Tablet,Wacom One Display,Support Plan,145,233064.41,34687.03,267751.44,0,2021,7,3,1846.56,5032574.5600000005
2021-07-09,Europe,Display Tablet,Cintiq 16,Training,173,173501.18,17495.66,190996.84,0,2021,7,4,1104.03,5032574.5600000005
2021-07-10,Europe,Display Tablet,Wacom One Display,Support Plan,197,179091.3,31063.17,210154.47,0,2021,7,5,1066.77,5032574.5600000005
2021-07-11,Europe,Pen Tablet,One by Wacom,Extended Warranty,133,68558.51,3030.81,71589.32,0,2021,7,6,538.27,5032574.5600000005
2021-07-12,North America,Display Tablet,Wacom One Display,Cloud Services,215,242086.18,25443.74,267529.92,0,2021,7,0,1244.33,5032574.5600000005
2021-07-13,Japan,Accessories,ExpressKey Remote,Extended Warranty,193,343616.95,53110.5,396727.45,0,2021,7,1,2055.58,5032574.5600000005
2021-07-14,Europe,Accessories,Wacom Stand,Training,198,329381.96,28917.82,358299.78,0,2021,7,2,1809.59,5032574.5600000005
